,date,cases
0,2021-12-09,3760048
1,2021-12-10,24988
2,2021-12-11,23762
3,2021-12-12,19450
4,2021-12-13,11377
5,2021-12-14,17460
6,2021-12-15,24264
7,2021-12-16,22096
8,2021-12-17,20027
9,2021-12-18,19392
10,2021-12-19,15976
11,2021-12-20,9610
12,2021-12-21,13807
13,2021-12-22,18013
14,2021-12-23,17150
15,2021-12-24,15376
16,2021-12-25,10789
17,2021-12-26,6253
18,2021-12-27,5027
19,2021-12-28,9850
20,2021-12-29,15567
21,2021-12-30,14326
22,2021-12-31,13607
23,2022-01-01,12033
24,2022-01-02,7180
25,2022-01-03,6423
26,2022-01-04,11667
27,2022-01-05,17197
28,2022-01-06,16577
29,2022-01-07,11901
30,2022-01-08,10897
31,2022-01-09,11107
32,2022-01-10,7787
33,2022-01-11,11402
34,2022-01-12,16173
35,2022-01-13,16874
36,2022-01-14,16049
37,2022-01-15,16893
38,2022-01-16,14661
39,2022-01-17,10446
40,2022-01-18,19648
41,2022-01-19,30588
42,2022-01-20,32835
43,2022-01-21,36664
44,2022-01-22,40878
45,2022-01-23,34123
46,2022-01-24,29097
47,2022-01-25,37045
48,2022-01-26,53416
49,2022-01-27,57659
50,2022-01-28,57265
51,2022-01-29,51690
52,2022-01-30,48287
53,2022-01-31,33477
54,2022-02-01,39116
55,2022-02-02,56051
56,2022-02-03,54475
57,2022-02-04,47536
58,2022-02-05,45748
59,2022-02-06,34700
60,2022-02-07,21977
61,2022-02-08,31349
62,2022-02-09,41679
63,2022-02-10,37601
64,2022-02-11,32106
65,2022-02-12,28155
66,2022-02-13,20027
67,2022-02-14,12233
68,2022-02-15,19847
69,2022-02-16,25670
70,2022-02-17,26128
